soil_id,sample_type,device,water_content,suction
ibedja,undisturbed,sem,0.4007,130.17372171791396
ibedja,undisturbed,sem,0.39799999999999996,136.93779222091948
ibedja,undisturbed,sem,0.39490000000000003,143.39147154158718
ibedja,undisturbed,sem,0.39189999999999997,150.4954332897877
ibedja,undisturbed,sem,0.3885,159.41284833437777
ibedja,undisturbed,sem,0.3848,168.85865343931195
ibedja,undisturbed,sem,0.3815,177.63286548328472
ibedja,undisturbed,sem,0.3778,187.72552245452982
ibedja,undisturbed,sem,0.3739,197.48009236571062
ibedja,undisturbed,sem,0.36979999999999996,209.18152348673422
ibedja,undisturbed,sem,0.36590000000000006,222.0870941339263
ibedja,undisturbed,sem,0.3618,234.70552965111528
ibedja,undisturbed,sem,0.35719999999999996,249.76025071687462
ibedja,undisturbed,sem,0.3527,267.0074146647491
ibedja,undisturbed,sem,0.348,286.1035994548613
ibedja,undisturbed,sem,0.3435,305.15698944857036
ibedja,undisturbed,sem,0.3392,323.98381994568547
ibedja,undisturbed,sem,0.33509999999999995,343.97218224060566
ibedja,undisturbed,sem,0.33140000000000003,364.35381539572273
ibedja,undisturbed,sem,0.3276,385.9431362404778
ibedja,undisturbed,sem,0.3237,409.75411307785726
ibedja,undisturbed,sem,0.31989999999999996,434.03357068443626
ibedja,undisturbed,sem,0.3161,460.81151367076484
ibedja,undisturbed,sem,0.3124,489.2415367702702
ibedja,undisturbed,sem,0.3086,520.6229655794182
ibedja,undisturbed,sem,0.30469999999999997,554.0172939485758
ibedja,undisturbed,sem,0.3009,589.5536353309059
ibedja,undisturbed,sem,0.2973,628.815620701142
ibedja,undisturbed,sem,0.2934,672.23840744198
ibedja,undisturbed,sem,0.289,725.309426266525
ibedja,undisturbed,sem,0.2844,780.7703664937271
ibedja,undisturbed,sem,0.28,842.4096277425897
ibedja,undisturbed,sem,0.2757,913.1104681407754
ibedja,undisturbed,sem,0.2711,980.6709750811506
ibedja,undisturbed,sem,0.2664,947.3780574769427
ibedja,undisturbed,sem,0.1891,6847.362525396154
ibedja,undisturbed,dewpoint,0.0764,38152.52816921287
ibedja,undisturbed,dewpoint,0.1075,14175.00829398484
ibedja,undisturbed,dewpoint,0.124,9152.15405161263
ibedja,undisturbed,dewpoint,0.1346,7789.746444815501
iafbff,undisturbed,sem,0.6302,0.009806709750811507
iafbff,undisturbed,sem,0.6291,0.009806709750811507
iafbff,undisturbed,sem,0.628,0.009806709750811507
iafbff,undisturbed,sem,0.627,0.009806709750811507
iafbff,undisturbed,sem,0.6259,0.009806709750811507
iafbff,undisturbed,sem,0.6251,0.009806709750811507
iafbff,undisturbed,sem,0.6243,0.009806709750811507
iafbff,undisturbed,sem,0.6236999999999999,0.6102718274501178
iafbff,undisturbed,sem,0.6229,0.9806709750811506
iafbff,undisturbed,sem,0.622,1.295756277948216
iafbff,undisturbed,sem,0.621,1.5868041282747702
iafbff,undisturbed,sem,0.6202000000000001,1.826094807997242
iafbff,undisturbed,sem,0.6194,2.1803354783726774
iafbff,undisturbed,sem,0.6184000000000001,2.6334393559526803
iafbff,undisturbed,sem,0.6175,2.9615789983446437
iafbff,undisturbed,sem,0.6164000000000001,3.1298485403700678
iafbff,undisturbed,sem,0.6154,3.2175353101677837
iafbff,undisturbed,sem,0.6143,3.3769398237080988
iafbff,undisturbed,sem,0.6133,3.5606011000196274
iafbff,undisturbed,sem,0.6122,3.7027408863835407
iafbff,undisturbed,sem,0.611,3.8328632237832525
iafbff,undisturbed,sem,0.6098,3.9402458625387604
iafbff,undisturbed,sem,0.6086,4.192985124707871
iafbff,undisturbed,sem,0.6074,4.6722204038934185
iafbff,undisturbed,sem,0.6062,5.170390222934195
iafbff,undisturbed,sem,0.6049,5.591435528539953
iafbff,undisturbed,sem,0.6037,6.130887142184404
iafbff,undisturbed,sem,0.6023,6.784585528424125
iafbff,undisturbed,sem,0.601,7.120710372901656
iafbff,undisturbed,sem,0.5997,7.490715826830087
iafbff,undisturbed,sem,0.5982,8.156865884444315
iafbff,undisturbed,sem,0.5968,8.385391070840567
iafbff,undisturbed,sem,0.5952000000000001,8.58071192032476
iafbff,undisturbed,sem,0.5937,9.322305299117215
iafbff,undisturbed,sem,0.5921,10.104697614435633
iafbff,undisturbed,sem,0.5904,10.532302442275203
iafbff,undisturbed,sem,0.5888,8.213406577623863
iafbff,undisturbed,sem,0.5871999999999999,5.936402259013971
iafbff,undisturbed,sem,0.5855,6.187615542460047
iafbff,undisturbed,sem,0.5838,6.614900586420864
iafbff,undisturbed,sem,0.5821000000000001,7.337081135922512
iafbff,undisturbed,sem,0.5803,8.175669402277457
iafbff,undisturbed,sem,0.5785,9.131104681407756
iafbff,undisturbed,sem,0.5766,10.15133877945047
iafbff,undisturbed,sem,0.5747,10.15133877945047
iafbff,undisturbed,sem,0.573,9.966055965624497
iafbff,undisturbed,sem,0.5710999999999999,10.508078818856406
iafbff,undisturbed,sem,0.5692,11.207876109774073
iafbff,undisturbed,sem,0.5672,11.98183464087703
iafbff,undisturbed,sem,0.5653,12.57544382869661
iafbff,undisturbed,sem,0.5633,13.259383189282024
iafbff,undisturbed,sem,0.5611999999999999,13.916285234910827
iafbff,undisturbed,sem,0.5590999999999999,14.045051036800103
iafbff,undisturbed,sem,0.5569,14.538624561355228
iafbff,undisturbed,sem,0.5548,15.65032359432322
iafbff,undisturbed,sem,0.5529,16.463543734224054
iafbff,undisturbed,sem,0.551,17.23944664619052
iafbff,undisturbed,sem,0.5488000000000001,18.093530701664925
iafbff,undisturbed,sem,0.5467,18.946252532748765
iafbff,undisturbed,sem,0.5446,19.432260405459377
iafbff,undisturbed,sem,0.5424,20.20799946327878
iafbff,undisturbed,sem,0.5401,21.35616765897323
iafbff,undisturbed,sem,0.5378000000000001,22.36265283267222
iafbff,undisturbed,sem,0.5355,23.57888811531645
iafbff,undisturbed,sem,0.5331,24.804091324456415
iafbff,undisturbed,sem,0.5306000000000001,25.734949577668573
iafbff,undisturbed,sem,0.5279,27.1345936139835
iafbff,undisturbed,sem,0.5252,29.209446111435504
iafbff,undisturbed,sem,0.5224,31.01153916474664
iafbff,undisturbed,sem,0.5196999999999999,33.00071288655507
iafbff,undisturbed,sem,0.517,34.95612805858963
iafbff,undisturbed,sem,0.5141,36.94224818663237
iafbff,undisturbed,sem,0.5112,39.22142077268023
iafbff,undisturbed,sem,0.5082,41.73720108008582
iafbff,undisturbed,sem,0.5052,44.414351129597705
iafbff,undisturbed,sem,0.5022,47.37217464178763
iafbff,undisturbed,sem,0.4991,50.52697772717307
iafbff,undisturbed,sem,0.496,54.016112071608944
iafbff,undisturbed,sem,0.4928,57.74618816679145
iafbff,undisturbed,sem,0.48950000000000005,61.733844216218095
iafbff,undisturbed,sem,0.48619999999999997,63.46339800027294
iafbff,undisturbed,sem,0.48310000000000003,63.90330525942109
iafbff,undisturbed,sem,0.4799,65.69363931083608
iafbff,undisturbed,sem,0.4768,69.42618826765828
iafbff,undisturbed,sem,0.4738,74.73487658504986
iafbff,undisturbed,sem,0.4708,78.07703664937274
iafbff,undisturbed,sem,0.4679,82.51317939857363
iafbff,undisturbed,sem,0.46490000000000004,85.4128713022409
iafbff,undisturbed,sem,0.4617,86.20318686988304
iafbff,undisturbed,sem,0.4586,111.05121683964624
iafbff,undisturbed,sem,0.45549999999999996,140.4505103680011
iafbff,undisturbed,sem,0.4524,153.29335229045063
iafbff,undisturbed,sem,0.4493,151.53861779706133
iafbff,undisturbed,sem,0.4462,147.74858206615036
iafbff,undisturbed,sem,0.44310000000000005,152.94078736375576
iafbff,undisturbed,sem,0.43979999999999997,154.35593104571103
iafbff,undisturbed,sem,0.4363,167.3105479992473
iafbff,undisturbed,sem,0.29059999999999997,8560.976830550955
iafbff,undisturbed,dewpoint,0.1822,20489.120738779075
iafbff,undisturbed,dewpoint,0.17920000000000003,26395.1006063186
iafbff,undisturbed,dewpoint,0.16449999999999998,46937.86393412226
iafbff,undisturbed,dewpoint,0.0679,854128.7130224098
lldllj,undisturbed,sem,0.4693,4.4108604887005916
lldllj,undisturbed,sem,0.4685,3.5606011000196274
lldllj,undisturbed,sem,0.4675,2.4861270660265253
lldllj,undisturbed,sem,0.46659999999999996,1.881582744770856
lldllj,undisturbed,sem,0.46619999999999995,1.7681671660173668
lldllj,undisturbed,sem,0.4657,1.920982115999637
lldllj,undisturbed,sem,0.4653,2.195448841894597
lldllj,undisturbed,sem,0.465,2.64559475973063
lldllj,undisturbed,sem,0.4643,3.300071288655508
lldllj,undisturbed,sem,0.4637,3.806477978941545
lldllj,undisturbed,sem,0.4635,4.192985124707871
lldllj,undisturbed,sem,0.4632,4.6614745951575
lldllj,undisturbed,sem,0.4625,5.218231254639008
lldllj,undisturbed,sem,0.4618,6.005142557440582
lldllj,undisturbed,sem,0.461,6.990742761437267
lldllj,undisturbed,sem,0.4604,8.404721393635148
lldllj,undisturbed,sem,0.4596,10.15133877945047
lldllj,undisturbed,sem,0.4586,12.064888750844672
lldllj,undisturbed,sem,0.45840000000000003,14.505186652756247
lldllj,undisturbed,sem,0.45770000000000005,16.92479128370031
lldllj,undisturbed,sem,0.45659999999999995,19.342977278979845
lldllj,undisturbed,sem,0.4558,22.005098741630135
lldllj,undisturbed,sem,0.4549,24.690126876845923
lldllj,undisturbed,sem,0.45399999999999996,27.83064820823133
lldllj,undisturbed,sem,0.45299999999999996,30.027786661802644
lldllj,undisturbed,sem,0.4517,29.344270788833974
lldllj,undisturbed,sem,0.4506,25.853736707744165
lldllj,undisturbed,sem,0.44939999999999997,22.830915237322454
lldllj,undisturbed,sem,0.4481,20.3012753507472
lldllj,undisturbed,sem,0.4468,20.06888857346377
lldllj,undisturbed,sem,0.446,24.017252374152903
lldllj,undisturbed,sem,0.4451,28.67631363665489
lldllj,undisturbed,sem,0.4437,32.24952495081768
lldllj,undisturbed,sem,0.4422,34.71549176564265
lldllj,undisturbed,sem,0.4411,38.152528169212886
lldllj,undisturbed,sem,0.44,41.92985124707871
lldllj,undisturbed,sem,0.4385,45.24007556661986
