soil_id,treatment,diameter,cumdist
cedlbl,peroxide,0.688386,0.320455
cedlbl,peroxide,0.705432,0.322685
cedlbl,peroxide,0.722901,0.324919
cedlbl,peroxide,0.740802,0.327154
cedlbl,peroxide,0.759146,0.329392
cedlbl,peroxide,0.777944,0.331631
cedlbl,peroxide,0.797208,0.333873
cedlbl,peroxide,0.816949,0.336117
cedlbl,peroxide,0.837179,0.338363
cedlbl,peroxide,0.85791,0.340611
cedlbl,peroxide,0.879154,0.342861
cedlbl,peroxide,0.900924,0.345113
cedlbl,peroxide,0.923234,0.347366
cedlbl,peroxide,0.946096,0.349622
cedlbl,peroxide,0.969523,0.351879
cedlbl,peroxide,0.993531,0.354138
cedlbl,peroxide,1.01813,0.356399
cedlbl,peroxide,1.04335,0.358661
cedlbl,peroxide,1.06918,0.360926
cedlbl,peroxide,1.09566,0.363191
cedlbl,peroxide,1.12279,0.365459
cedlbl,peroxide,1.15059,0.367751
cedlbl,peroxide,1.17908,0.370097
cedlbl,peroxide,1.20828,0.372492
cedlbl,peroxide,1.2382,0.374933
cedlbl,peroxide,1.26886,0.377415
cedlbl,peroxide,1.30028,0.379935
cedlbl,peroxide,1.33248,0.382488
cedlbl,peroxide,1.36548,0.38507
cedlbl,peroxide,1.39929,0.387677
cedlbl,peroxide,1.43394,0.390305
cedlbl,peroxide,1.46945,0.392949
cedlbl,peroxide,1.50584,0.395606
cedlbl,peroxide,1.54313,0.398272
cedlbl,peroxide,1.58134,0.400942
cedlbl,peroxide,1.6205,0.403612
cedlbl,peroxide,1.66062,0.406279
cedlbl,peroxide,1.70174,0.408937
cedlbl,peroxide,1.74388,0.411584
cedlbl,peroxide,1.78707,0.414214
cedlbl,peroxide,1.83132,0.416824
cedlbl,peroxide,1.87667,0.41941
cedlbl,peroxide,1.92314,0.421967
cedlbl,peroxide,1.97076,0.424491
cedlbl,peroxide,2.01956,0.42698
cedlbl,peroxide,2.06957,0.429442
cedlbl,peroxide,2.12082,0.431882
cedlbl,peroxide,2.17334,0.434302
cedlbl,peroxide,2.22716,0.436705
cedlbl,peroxide,2.28231,0.439093
cedlbl,peroxide,2.33882,0.441468
cedlbl,peroxide,2.39674,0.443833
cedlbl,peroxide,2.45609,0.446191
cedlbl,peroxide,2.51691,0.448542
cedlbl,peroxide,2.57923,0.450891
cedlbl,peroxide,2.6431,0.453238
cedlbl,peroxide,2.70855,0.455588
cedlbl,peroxide,2.77562,0.457941
